1595968976.940009,2020-07-29 02:12:56.939, USB0 opened and waiting for data
1595969010.500565,2020-07-29 02:13:30.500, Received on USB0: , 0x01
1595969010.529267,2020-07-29 02:13:30.529, Received on USB0: , 0x43
1595969010.55828,2020-07-29 02:13:30.558, Received on USB0: , 0xe0
1595969010.587437,2020-07-29 02:13:30.587, Received on USB0: , 0x27
1595969010.618682,2020-07-29 02:13:30.618, Received on USB0: , 0x07
1595969010.662654,2020-07-29 02:13:30.662, Received on USB0: , 0x04
1595969015.902241,2020-07-29 02:13:35.901, Received on USB0: , 0x84
1595969017.033356,2020-07-29 02:13:37.033, Received on USB0: , 0x84
1595969018.064326,2020-07-29 02:13:38.064, Received on USB0: , 0x84
1595969019.097815,2020-07-29 02:13:39.097, Received on USB0: , 0x84
1595969020.129244,2020-07-29 02:13:40.129, Received on USB0: , 0x84
1595969021.16248,2020-07-29 02:13:41.162, Received on USB0: , 0x84
1595969022.193603,2020-07-29 02:13:42.193, Received on USB0: , 0x84
1595969023.226952,2020-07-29 02:13:43.226, Received on USB0: , 0x85
1595969024.258114,2020-07-29 02:13:44.257, Received on USB0: , 0x85
1595969025.293283,2020-07-29 02:13:45.293, Received on USB0: , 0x85
1595969026.324481,2020-07-29 02:13:46.324, Received on USB0: , 0x85
1595969027.360337,2020-07-29 02:13:47.360, Received on USB0: , 0x85
1595969028.393294,2020-07-29 02:13:48.393, Received on USB0: , 0x85
1595969029.424387,2020-07-29 02:13:49.424, Received on USB0: , 0x85
1595969030.455448,2020-07-29 02:13:50.455, Received on USB0: , 0x85
1595969031.486706,2020-07-29 02:13:51.486, Received on USB0: , 0x85
1595969032.518413,2020-07-29 02:13:52.518, Received on USB0: , 0x85
1595969033.455738,2020-07-29 02:13:53.455, Received on USB0: , 0x11
1595969033.549337,2020-07-29 02:13:53.549, Received on USB0: , 0x85
1595969034.586925,2020-07-29 02:13:54.586, Received on USB0: , 0x85
1595969035.618073,2020-07-29 02:13:55.617, Received on USB0: , 0x85
1595969036.651506,2020-07-29 02:13:56.651, Received on USB0: , 0x86
1595969037.682372,2020-07-29 02:13:57.682, Received on USB0: , 0x85
1595969038.713633,2020-07-29 02:13:58.713, Received on USB0: , 0x86
1595969039.744861,2020-07-29 02:13:59.744, Received on USB0: , 0x86
1595969040.778288,2020-07-29 02:14:00.778, Received on USB0: , 0x86
1595969041.813354,2020-07-29 02:14:01.813, Received on USB0: , 0x86
1595969042.844991,2020-07-29 02:14:02.844, Received on USB0: , 0x86
1595969043.878327,2020-07-29 02:14:03.878, Received on USB0: , 0x86
1595969044.909267,2020-07-29 02:14:04.909, Received on USB0: , 0x86
1595969046.142524,2020-07-29 02:14:06.142, Received on USB0: , 0x85
1595969047.361427,2020-07-29 02:14:07.361, Received on USB0: , 0x86
1595969048.392318,2020-07-29 02:14:08.392, Received on USB0: , 0x86
1595969049.423576,2020-07-29 02:14:09.423, Received on USB0: , 0x86
1595969050.454487,2020-07-29 02:14:10.454, Received on USB0: , 0x86
1595969051.488461,2020-07-29 02:14:11.488, Received on USB0: , 0x86
1595969052.519755,2020-07-29 02:14:12.519, Received on USB0: , 0x86
1595969053.55051,2020-07-29 02:14:13.550, Received on USB0: , 0x86
1595969054.584233,2020-07-29 02:14:14.583, Received on USB0: , 0x86
1595969055.617345,2020-07-29 02:14:15.617, Received on USB0: , 0x86
1595969056.648112,2020-07-29 02:14:16.647, Received on USB0: , 0x86
1595969057.679392,2020-07-29 02:14:17.679, Received on USB0: , 0x86
1595969058.712708,2020-07-29 02:14:18.712, Received on USB0: , 0x86
1595969059.744659,2020-07-29 02:14:19.744, Received on USB0: , 0x86
1595969060.775422,2020-07-29 02:14:20.775, Received on USB0: , 0x86
1595969061.81095,2020-07-29 02:14:21.810, Received on USB0: , 0x86
1595969062.844154,2020-07-29 02:14:22.843, Received on USB0: , 0x86
1595969063.877224,2020-07-29 02:14:23.877, Received on USB0: , 0x86
1595969064.926978,2020-07-29 02:14:24.926, Received on USB0: , 0x86
1595969065.958372,2020-07-29 02:14:25.958, Received on USB0: , 0x86
1595969066.989566,2020-07-29 02:14:26.989, Received on USB0: , 0x86
1595969068.020566,2020-07-29 02:14:28.020, Received on USB0: , 0x86
1595969069.051977,2020-07-29 02:14:29.051, Received on USB0: , 0x86
1595969070.082736,2020-07-29 02:14:30.082, Received on USB0: , 0x86
1595969071.114417,2020-07-29 02:14:31.114, Received on USB0: , 0x86
1595969072.147494,2020-07-29 02:14:32.147, Received on USB0: , 0x86
1595969073.178453,2020-07-29 02:14:33.178, Received on USB0: , 0x86
1595969074.211851,2020-07-29 02:14:34.211, Received on USB0: , 0x86
1595969075.243281,2020-07-29 02:14:35.242, Received on USB0: , 0x86
1595969076.274315,2020-07-29 02:14:36.274, Received on USB0: , 0x86
1595969077.337096,2020-07-29 02:14:37.336, Received on USB0: , 0x86
1595969078.559645,2020-07-29 02:14:38.559, Received on USB0: , 0x86
1595969079.590898,2020-07-29 02:14:39.590, Received on USB0: , 0x86
1595969080.62439,2020-07-29 02:14:40.624, Received on USB0: , 0x86
1595969081.655663,2020-07-29 02:14:41.655, Received on USB0: , 0x86
1595969082.686871,2020-07-29 02:14:42.686, Received on USB0: , 0x86
1595969083.718274,2020-07-29 02:14:43.718, Received on USB0: , 0x86
1595969084.749244,2020-07-29 02:14:44.749, Received on USB0: , 0x86
1595969085.780664,2020-07-29 02:14:45.780, Received on USB0: , 0x86
1595969086.811258,2020-07-29 02:14:46.811, Received on USB0: , 0x86
1595969087.842624,2020-07-29 02:14:47.842, Received on USB0: , 0x86
1595969088.876199,2020-07-29 02:14:48.876, Received on USB0: , 0x86
1595969089.907327,2020-07-29 02:14:49.907, Received on USB0: , 0x86
1595969090.938629,2020-07-29 02:14:50.938, Received on USB0: , 0x86
1595969091.969963,2020-07-29 02:14:51.969, Received on USB0: , 0x86
1595969093.001006,2020-07-29 02:14:53.000, Received on USB0: , 0x86
1595969094.032448,2020-07-29 02:14:54.032, Received on USB0: , 0x86
1595969095.065531,2020-07-29 02:14:55.065, Received on USB0: , 0x86
1595969096.098727,2020-07-29 02:14:56.098, Received on USB0: , 0x86
1595969097.12972,2020-07-29 02:14:57.129, Received on USB0: , 0x86
1595969098.163,2020-07-29 02:14:58.162, Received on USB0: , 0x86
1595969099.196391,2020-07-29 02:14:59.196, Received on USB0: , 0x86
1595969100.227425,2020-07-29 02:15:00.227, Received on USB0: , 0x86
1595969101.258775,2020-07-29 02:15:01.258, Received on USB0: , 0x86
1595969102.290206,2020-07-29 02:15:02.290, Received on USB0: , 0x86
1595969103.325546,2020-07-29 02:15:03.325, Received on USB0: , 0x86
1595969104.356793,2020-07-29 02:15:04.356, Received on USB0: , 0x86
1595969105.388005,2020-07-29 02:15:05.387, Received on USB0: , 0x86
1595969106.418738,2020-07-29 02:15:06.418, Received on USB0: , 0x87
