1595968980.989133,2020-07-29 02:13:00.989, USB1 opened and waiting for data
1595968996.3458,2020-07-29 02:13:16.345, Received on USB1: , 0x00
1595969010.481269,2020-07-29 02:13:30.481, Received on USB1: , 0x7f
1595969010.498269,2020-07-29 02:13:30.498, Received on USB1: , 0xf2
1595969010.52707,2020-07-29 02:13:30.526, Received on USB1: , 0xf1
1595969010.556053,2020-07-29 02:13:30.555, Received on USB1: , 0xf4
1595969010.585217,2020-07-29 02:13:30.585, Received on USB1: , 0x27
1595969010.616435,2020-07-29 02:13:30.616, Received on USB1: , 0xf5
1595969010.660315,2020-07-29 02:13:30.660, Received on USB1: , 0x81
1595969015.899997,2020-07-29 02:13:35.899, Received on USB1: , 0x81
1595969017.031156,2020-07-29 02:13:37.030, Received on USB1: , 0x81
1595969018.062163,2020-07-29 02:13:38.061, Received on USB1: , 0x81
1595969019.095558,2020-07-29 02:13:39.095, Received on USB1: , 0x81
1595969020.127027,2020-07-29 02:13:40.126, Received on USB1: , 0x81
1595969021.16023,2020-07-29 02:13:41.159, Received on USB1: , 0x81
1595969022.191246,2020-07-29 02:13:42.191, Received on USB1: , 0x81
1595969023.224579,2020-07-29 02:13:43.224, Received on USB1: , 0x81
1595969024.255819,2020-07-29 02:13:44.255, Received on USB1: , 0x81
1595969025.290972,2020-07-29 02:13:45.290, Received on USB1: , 0x81
1595969026.322259,2020-07-29 02:13:46.322, Received on USB1: , 0x81
1595969027.357969,2020-07-29 02:13:47.357, Received on USB1: , 0x81
1595969028.390813,2020-07-29 02:13:48.390, Received on USB1: , 0x81
1595969029.422292,2020-07-29 02:13:49.421, Received on USB1: , 0x81
1595969030.453369,2020-07-29 02:13:50.453, Received on USB1: , 0x81
1595969031.484547,2020-07-29 02:13:51.484, Received on USB1: , 0x81
1595969032.515852,2020-07-29 02:13:52.515, Received on USB1: , 0x81
1595969033.45339,2020-07-29 02:13:53.453, Received on USB1: , 0x11
1595969033.546988,2020-07-29 02:13:53.546, Received on USB1: , 0x81
1595969034.584522,2020-07-29 02:13:54.584, Received on USB1: , 0x81
1595969035.615795,2020-07-29 02:13:55.615, Received on USB1: , 0x81
1595969036.649177,2020-07-29 02:13:56.648, Received on USB1: , 0x81
1595969037.680227,2020-07-29 02:13:57.680, Received on USB1: , 0x81
